0,A,B,C,D,E,F,G,H,I,J,L,M,N,O,P,Q,S,T,U,V,W
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-07,118517.2446439416,604464.9571428571,6053.857142857143,1377987.882585714,88999.24285714285,144203.89285714287,100521.37142857142,1907576.5714285716,2534357.714285714,382580.1398014286,433865.3015014286,435568.4364285714,936829.1428571428,1630396.7142857143,1376637.107142857,148230.52857142856,889041.5133999999,1537464.107142857,0.0,785386.2714285713,151751.72999999998
2018-01-08,145075.469049065,604538.7,6404.714285714285,1372919.2286571427,89258.11071428572,141916.01785714287,100578.98571428572,1896537.142857143,2506449.714285714,381072.10761285713,432013.2028285715,433034.8056,939765.2857142856,1639816.342857143,1376977.1785714286,150706.9857142857,889642.2293714285,1546782.75,0.0,790539.6571428571,151456.0914285714
2018-01-09,171633.69345418838,602097.9142857144,6539.714285714285,1370412.8104714286,89506.39285714286,140475.82142857142,100424.92857142857,1888040.142857143,2494495.714285714,378231.7774528571,432655.4052228571,430291.2293857144,934138.1428571428,1633313.0714285714,1379637.4285714286,149987.08571428573,882454.8321714286,1547522.142857143,0.0,793932.8714285715,151632.35285714286
2018-01-10,181453.2035735975,600647.8428571429,6479.428571428572,1367852.4998142857,89835.675,139481.125,101068.67142857144,1882383.0,2496959.714285714,371684.9001885714,428506.7222357143,430893.8327285714,912083.7142857144,1624255.7571428572,1380418.392857143,149861.7714285714,882572.4155285713,1553658.857142857,0.0,790258.8857142857,150528.5042857143
